Angulo_Rad,Radio_mm,Campo_mT
0.7853981633974483,20.0,-49.04
0.8726646259971648,20.0,-49.04
0.9599310885968813,20.0,-48.94
1.0471975511965976,20.0,-48.94
1.1344640137963142,20.0,-48.99
1.2217304763960306,20.0,-48.89
1.3089969389957472,20.0,-48.79
1.3962634015954636,20.0,-48.84
1.4835298641951802,20.0,-48.74
1.5707963267948966,20.0,-48.69
1.6580627893946132,20.0,-48.69
1.7453292519943295,20.0,-48.6
1.8325957145940461,20.0,-48.5
1.9198621771937625,20.0,-48.5
2.007128639793479,20.0,-48.5
2.0943951023931953,20.0,-48.5
2.181661564992912,20.0,-48.5
2.2689280275926285,20.0,-48.45
2.356194490192345,20.0,-48.4
2.443460952792061,20.0,-48.4
2.530727415391778,20.0,-48.35
2.6179938779914944,20.0,-48.25
2.705260340591211,20.0,-48.3
2.792526803190927,20.0,-48.21
2.8797932657906435,20.0,-48.21
2.9670597283903604,20.0,-48.11
3.0543261909900767,20.0,-48.01
3.141592653589793,20.0,-47.91
3.2288591161895095,20.0,-47.77
3.3161255787892263,20.0,-47.67
3.4033920413889427,20.0,-47.72
3.490658503988659,20.0,-47.72
3.5779249665883754,20.0,-47.72
3.6651914291880923,20.0,-47.77
3.7524578917878086,20.0,-47.72
3.839724354387525,20.0,-47.77
3.9269908169872414,20.0,-47.72
4.014257279586958,20.0,-47.77
4.101523742186674,20.0,-47.77
4.1887902047863905,20.0,-47.81
4.276056667386108,20.0,-47.81
4.363323129985824,20.0,-47.86
4.4505895925855405,20.0,-47.96
4.537856055185257,20.0,-48.01
4.625122517784973,20.0,-48.01
4.71238898038469,20.0,-48.06
4.799655442984406,20.0,-47.96
4.886921905584122,20.0,-48.01
4.974188368183839,20.0,-48.06
5.061454830783556,20.0,-48.11
5.1487212933832724,20.0,-48.11
5.235987755982989,20.0,-48.16
5.323254218582705,20.0,-48.16
5.410520681182422,20.0,-48.21
5.497787143782138,20.0,-48.3
5.585053606381854,20.0,-48.45
5.672320068981571,20.0,-48.45
5.759586531581287,20.0,-48.55
5.846852994181004,20.0,-48.6
5.934119456780721,20.0,-48.6
6.021385919380437,20.0,-48.69
6.1086523819801535,20.0,-48.74
6.19591884457987,20.0,-48.84
0.0,22.0,-47.77
0.08726646259971647,22.0,-47.96
0.17453292519943295,22.0,-48.01
0.2617993877991494,22.0,-47.96
0.3490658503988659,22.0,-48.06
0.4363323129985824,22.0,-48.11
0.5235987755982988,22.0,-48.06
0.6108652381980153,22.0,-48.01
0.6981317007977318,22.0,-48.06
0.7853981633974483,22.0,-48.16
0.8726646259971648,22.0,-48.11
0.9599310885968813,22.0,-48.06
1.0471975511965976,22.0,-47.96
1.1344640137963142,22.0,-47.81
1.2217304763960306,22.0,-47.77
1.3089969389957472,22.0,-47.81
1.3962634015954636,22.0,-47.72
1.4835298641951802,22.0,-47.52
1.5707963267948966,22.0,-47.42
1.6580627893946132,22.0,-47.23
1.7453292519943295,22.0,-47.08
